,x,y,PAM50,Cohort,Class,color
BRCA-A1N9-01A,3.13189551152791,-1.59191219690193,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A1N6-01A,4.58498998303535,0.289658332696079,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A3X8-01A,-4.46284142798307,-5.31949997055725,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A22H-01A,-4.16087463125218,11.4707694153136,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A424-01A,-10.3491658860554,3.39346270203417,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A22G-01A,25.7500512507096,7.61586313942682,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A1N4-01A,-4.95218104115255,-6.84031930880807,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1NA-01A,2.96091428707955,-0.496282820345152,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1N5-01A,-8.0391861091894,-3.7517864906626,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0SN-01A,0.916611991779268,-2.19535815937608,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1NC-01A,16.236432751345,-11.8585718046214,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A5DC-01A,1.96449506088097,8.76686127961201,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A18H-01A,-1.15249943293934,-1.45289280436416,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3TN-01A,-12.3576304522897,9.42226407681765,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0AU-01A,-3.25614985971741,1.8559767861701,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1EX-01A,-6.61460585206259,-9.2287443357418,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A18Q-01A,12.3668353590652,-3.98438113148501,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A23C-01A,-5.32344507729399,-2.84412712766525,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A23H-01A,3.03441940102063,7.75130302457818,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A23G-01A,-8.4861134045058,-16.5431809552649,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3W5-01A,3.26698500498824,-13.3738739304839,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A15E-01A,-9.33381995070548,0.0720564080194068,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A14W-01A,2.29704124909518,16.2590127057975,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0C7-01B,0.224053789146574,4.80441884204037,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0DD-01A,4.35196004377597,10.7078251725019,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A5DD-01A,-7.71701977481598,-0.263000789644935,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A18M-01A,-10.8234254458418,-6.95510260392701,LumA,TCGA,LumA_TCGA,#FB9A99
107,8.9104925988061,12.1266554053919,LumB,Yau,LumB_Yau,#FF7F00
109,13.6370439531596,-8.91950272685027,Basal,Yau,Basal_Yau,#1F78B4
11,3.32969008395197,-0.982114645021787,Her2,Yau,Her2_Yau,#33A02C
110,10.5026456120023,24.6741220005874,LumB,Yau,LumB_Yau,#FF7F00
